.,Creator Data,Kelas,Title,Alternative Title,URL Photo,Year,Country,Synopsis,Availability,Genres (Up to 5),Actor (Up to 9),Link Trailer,Award,Trailer(link YT)
81,Bhisma,3B,Overlord I,,https://cdn.myanimelist.net/images/anime/7/88019.jpg,2015,Japan,"The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the game as the servers begin to shut down. To his surprise, despite the clock having struck midnight, Momonga is still fully conscious as his character and, moreover, the non-player characters appear to have developed personalities of their own! Confronted with this abnormal situation, Momonga commands his loyal servants to help him investigate and take control of this new world, with the hopes of figuring out what has caused this development and if there may be others in the same predicament.","Crunchyroll, Netflix","Animation, Action, Adventure, Fantasy","Satoshi Hino, Yumi Hara, Masayuki Katou, Sumire Uesaka, Manami Numakura, Shigeru Chiba, Mamoru Miyano",https://www.youtube.com/embed/3jE9moHQePI?enablejsapi=1&wmode=opaque&autoplay=1,,https://www.youtube.com/embed/3jE9moHQePI?enablejsapi=1&wmode=opaque&autoplay=1
82,Bhisma,3B,Overlord II,,https://cdn.myanimelist.net/images/anime/1212/113415.jpg,2018,Japan,"Ainz Ooal Gown, the undead sorcerer formerly known as Momonga, has accepted his place in this new world. Though it bears similarities to his beloved virtual reality game Yggdrasil, it still holds many mysteries which he intends to uncover, by utilizing his power as ruler of the Great Tomb of Nazarick. However, ever since the disastrous brainwashing of one of his subordinates, Ainz has become wary of the impending dangers of the Slane Theocracy, as well as the possible existence of other former Yggdrasil players. Meanwhile, Albedo, Demiurge and the rest of Ainz's loyal guardians set out to prepare for the next step in their campaign: Nazarick's first war… Overlord II picks up immediately after its prequel, continuing the story of Ainz Ooal Gown, his eclectic army of human-hating guardians, and the many hapless humans affected by the Overlord's arrival.","Crunchyroll, Netflix","Animation, Action, Adventure, Fantasy","Satoshi Hino, Yumi Hara, Masayuki Katou, Sumire Uesaka, Manami Numakura, Shigeru Chiba, Mamoru Miyano",https://www.youtube.com/embed/p2ksX48PBQY?enablejsapi=1&wmode=opaque&autoplay=1,,https://www.youtube.com/embed/p2ksX48PBQY?enablejsapi=1&wmode=opaque&autoplay=1
83,Bhisma,3B,Overlord III,,https://cdn.myanimelist.net/images/anime/1511/93473.jpg,2018,Japan,"Following the horrific assault on the Re-Estize capital city, the Guardians of the Great Tomb of Nazarick return home to their master Ainz Ooal Gown. After months of laying the groundwork, they are finally ready to set their plans of world domination into action. As Ainz's war machine gathers strength, the rest of the world keeps moving. The remote Carne Village, which Ainz once saved from certain doom, continues to prosper despite the many threats on its doorstep. And in the northeastern Baharuth Empire, a certain Bloody Emperor sets his sights on the rising power of Nazarick. Blood is shed, heroes fall, and nations rise. Can anyone, or anything, challenge the supreme power of Ainz Ooal Gown?","Crunchyroll, Netflix","Animation, Action, Adventure, Fantasy","Satoshi Hino, Yumi Hara, Masayuki Katou, Sumire Uesaka, Manami Numakura, Shigeru Chiba, Mamoru Miyano",https://www.youtube.com/embed/awYU-9jVZxE?enablejsapi=1&wmode=opaque&autoplay=1,,https://www.youtube.com/embed/awYU-9jVZxE?enablejsapi=1&wmode=opaque&autoplay=1
84,Bhisma,3B,Overlord IV,,https://cdn.myanimelist.net/images/anime/1530/120110.jpg,2022,Japan,"E-Rantel, the capital city of the newly established Sorcerer Kingdom, suffers from a dire shortage of goods. Once a prosperous city known for its trade, it now faces a crisis due to its caution—or even fear—of its king, Ainz Ooal Gown. To make amends, Ainz sends Albedo to the city as a diplomatic envoy. Meanwhile, the cardinals of the Slane Theocracy discuss how to retaliate against Ainz after his attack crippled the Re-Estize Kingdom's army, plotting for the Baharuth Empire to take over the Sorcerer Kingdom. However, when Emperor Jircniv Rune Farlord El Nix arranges a meeting with the Theocracy's messengers at a colosseum, he is confronted by none other than Ainz himself. With their secret gathering now out in the open, the emperor and his guests learn that Ainz has challenged the Warrior King, the empire's greatest fighter, to a duel. With Ainz's motivations beyond his comprehension, Jircniv can do nothing but watch as humanity's future changes before his very eyes.","Crunchyroll, Netflix","Animation, Action, Adventure, Fantasy","Satoshi Hino, Yumi Hara, Masayuki Katou, Sumire Uesaka, Manami Numakura, Shigeru Chiba, Mamoru Miyano",https://www.youtube.com/embed/tNYQjEyTO6s?enablejsapi=1&wmode=opaque&autoplay=1,,https://www.youtube.com/embed/tNYQjEyTO6s?enablejsapi=1&wmode=opaque&autoplay=1
85,Bhisma,3B,Overlord: The Sacred Kingdom,Overlord Movie 3: Sei Oukoku-hen,https://cdn.myanimelist.net/images/anime/1954/144101.jpg,2024,Japan,"The Sacred Kingdom has enjoyed a great many years without war thanks to a colossal wall constructed after a historic tragedy. They understand best how fragile peace can be. When the terrible demon Jaldabaoth takes to the field at the head of a united army of monstrous tribes, the Sacred Kingdom's leaders know their defenses are not enough. With the very existence of the country at stake, the pious have no choice but to seek help wherever they can get it, even if it means breaking taboo and parlaying with the undead king of the Nation of Darkness!","Crunchyroll, Netflix","Animation, Action, Adventure, Fantasy","Satoshi Hino, Yumi Hara, Masayuki Katou, Asami Seto, Yoshino Aoyama, Saori Hayami, Haruka Tomatsu, Hitomi Nabatame",https://www.youtube.com/embed/vniS5g48wHA?enablejsapi=1&wmode=opaque&autoplay=1,,https://www.youtube.com/embed/vniS5g48wHA?enablejsapi=1&wmode=opaque&autoplay=1
86,Zahran,3B,The SpongeBob SquarePants Movie,,https://xl.movieposterdb.com/15_08/2004/345950/xl_345950_4a997ac0.jpg?v=2024-08-25%2022:27:45,2004,United States,"SpongeBob takes leave from Bikini Bottom in order to track down, with Patrick, King Neptune's stolen crown.",Netflix,"Animation, Adventure, Comedy, Family, Fantasy","Tom Kenny, Jeffrey Tambor, Bill Fagerbakke, Clancy Brown, Rodger Bumpass, Jill Talley, Carolyn Lawrence, Mr. Lawrence, Mary Jo Catlett",https://www.imdb.com/video/vi1202241561/?playlistId=tt0345950&ref_=tt_pr_ov_vi,,https://youtu.be/47ceXAEr2Oo?si=obQrt5lOPjfWtvCM
87,Zahran,3B,The SpongeBob Movie: Sponge Out of Water,,https://xl.movieposterdb.com/14_08/2014/2279373/xl_2279373_fd7068e6.jpg?v=2023-08-25%2020:53:52,2015,United States,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his friends team up in order to get it back.",Netflix,"Animation, Adventure, Comedy, Family, Fantasy","Tom Kenny, Antonio Banderas, Bill Fagerbakke, Clancy Brown, Eric Bauza, Tim Conway, Eddie Deezen, Rob Paulsen, Kevin Michael Richardson",https://www.imdb.com/video/vi421768985/?playlistId=tt2279373&ref_=tt_ov_vi,,https://youtu.be/4zoI4L4x1i0?si=yeutQVxsxUtJr_ua
88,Zahran,3B,The SpongeBob Movie: Sponge on the Run,,https://xl.movieposterdb.com/21_05/2020/4823776/xl_4823776_ee929659.jpg?v=2024-07-22%2015:50:22,2021,United States,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to the Lost City of Atlantic City to bring Gary home.",Netflix,"Animation, Adventure, Comedy, Family, Fantasy","Tim Hill, Clancy Brown, Bill Fagerbakke, Rodger Bumpass, Mr. Lawrence, Carolyn Lawrence, Awkwafina, Tom Kenny, Jill Talley",https://www.imdb.com/video/vi3578838809/?playlistId=tt4823776&ref_=tt_pr_ov_vi,,https://youtu.be/a2cowVH03Xo?si=SqYPcZQc8Tp9DSQO
89,Zahran,3B,Saving Bikini Bottom: The Sandy Cheeks Movie,,https://xl.movieposterdb.com/23_03/0/23063732/xl_saving-bikini-bottom-the-sandy-cheeks-movie-movie-poster_da43a426.jpg,2024,United States,"When Bikini Bottom is suddenly scooped out of the ocean, Sandy Cheeks and SpongeBob journey to Sandy's home state of Texas, where they meet Sandy's family and must save Bikini Bottom from the hands of an evil CEO.",Netflix,"Animation, Adventure, Comedy, Family, Fantasy","Carolyn Lawrence, Tom Kenny, Clancy Brown, Bill Fagerbakke, Mr. Lawrence, Mary Jo Catlett, Rodger Bumpass, Dee Bradley Baker, Christopher Hagen",https://www.imdb.com/video/vi2049820185/?playlistId=tt23063732&ref_=tt_ov_vi,,https://youtu.be/Ud6-SGnzH3k?si=c9j26OgFgRx0W_kA
90,Zahran,3B,Mr. Bean's Holiday,,https://xl.movieposterdb.com/07_08/2007/453451/xl_453451_781d47f2.jpg?v=2024-07-23%2015:02:08,2007,United States,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Netflix,"Comedy, Family","Rowan Atkinson, Willem Dafoe, Steve Pemberton, Lily Atkinson, Preston Nyman, Sharlit Deyzac, Francois Touch, Emma de Caunes, Arsene Mosca",https://www.imdb.com/video/vi682344985/?playlistId=tt0453451&ref_=tt_pr_ov_vi,,https://youtu.be/LZfIzJ6XwPQ?si=EKjeOXWGZpuPc54G
91,Hanif,3B,Black Panther,,https://www.imdb.com/title/tt1825683/mediaviewer/rm172972800/?ref_=ext_shr_lnk,2018,United States,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Netflix,"Action, Adventure","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Dania Gurira, Martin Freeman, Daniel Kaluuya, Letita Wright,Winston Duke, Sterling K. Brown.",https://www.imdb.com/video/vi2320939289/?playlistId=tt1825683&ref_=ext_shr_lnk,,https://youtu.be/xjDjIWPwcPU?si=jOYpfoPjbr--vOM6
92,Hanif,3B,Thor the dark world,,https://www.imdb.com/title/tt1981115/mediaviewer/rm1847122688/?ref_=ext_shr_lnk,2013,United States,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Netflix,"Action, Adventure, Fantasy","Chris Hemswort, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Christopher Eccleston, Jaimie Alexander, Zachary Levi, Ray Stevenson, Tadanobu",https://www.imdb.com/video/vi1286318105/?playlistId=tt1981115&ref_=ext_shr_lnk,,https://youtu.be/npvJ9FTgZbM?si=KSBIYQsinBQhFeI9
93,Hanif,3B,Ant-Man,,https://www.imdb.com/title/tt0478970/mediaviewer/rm124909312/?ref_=ext_shr_lnk,2015,United States,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Netflix,"Action, Comedy","Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Anthony Mackie, Judy Greer, Abby Ryder Fortson, Michael Pena",https://www.imdb.com/video/vi3829444633/?playlistId=tt0478970&ref_=ext_shr_lnk,,https://youtu.be/pWdKf3MneyI?si=G8ESHBzqLeSnefN3
94,Hanif,3B,Capten Marvel,,https://www.imdb.com/title/tt4154664/mediaviewer/rm123368960/?ref_=ext_shr_lnk,2019,,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Netflix,"Action, Adventure","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan",https://www.imdb.com/video/vi4235180569/?playlistId=tt4154664&ref_=ext_shr_lnk,,https://youtu.be/Z1BCujX3pw8?si=7BDO34-ax1A_MhJl
95,Hanif,3B,Sheriff,,https://www.imdb.com/title/tt28547912/mediaviewer/rm1709262081/?ref_=ext_shr_lnk,2024,Malaysia,"Sheriff and Nazri, police officers from different departments, team up to take down Tony, a ruthless drug kingpin running a methamphetamine syndicate responsible for numerous deaths, known as the Meth Killer.",Netflix,"Action, Adventure, Crime, Drama, Mystery, Thriller","Zul Ariffin, Syafiq Kyle, Aaron Aziz, Elizabeth Tan, Azira Shafinaz, Amir Nafis, Kodi Rasheed, Shaharuddin Thamby, Esma Daniel.",https://www.imdb.com/video/vi2565326361/?playlistId=tt28547912&ref_=ext_shr_lnk,,https://youtu.be/gG3UbB_e_UY?si=rkI_-X_dQcQcV9JZ
96,Reza,3B,You're the Apple of My Eye,,,2011,Taiwan,"A group of close friends who attend a private school all have a debilitating crush on the sunny star pupil, Shen Jiayi. The only member of the group who claims not to is Ke Jingteng, but he ends up loving her as well.",,,,,,
97,Reza,3B,Modern Family,,https://www.imdb.com/title/tt1442437/mediaviewer/rm2302182657/?ref_=tt_ov_i,2009,USA,"Three different, but related, families face trials and tribulations in their own uniquely comedic ways.",Netflix,,,,,
98,Reza,3B,Succession,,,,,,,,,,,
99,Reza,3B,Schindler's List,,,,,,,,,,,
100,Reza,3B,Dune,,,,,,,,,,,
101,Saabiq,3A,Fate/stay night [Heaven's Feel] I. presage flower,Gekijouban Fate/stay night [Heaven's Feel] I. presage flower,Fate/stay night [Heaven's Feel] I. presage flower (2017) (imdb.com),2017,Japan,"Shirou Emiya is a young mage who attends Homurahara Academy in Fuyuki City. One day after cleaning the Archery Dojo in his school, he catches a glimpse of a fight between superhuman beings, and he gets involved in the Holy Grail War, a ritual where mages called Masters fight each other with their Servants in order to win the Holy Grail. Shirou joins the battle to stop an evildoer from winning the Grail and to save innocent people, but everything goes wrong when a mysterious ""Shadow"" begins to indiscriminately kill people in Fuyuki.","Crunchyroll, Apple TV, Microsoft Store","Anime, Action, Adventure, Drama, Fantasy","Noriaki Sugiyama, Noriko Shitaya, Ayako Kawasumi, Kana Ueda, Jôji Nakata",https://youtu.be/AMr5pXzpvP0?si=Wrqrp_iXyxIG4dw5,"2018 Nominee Anime Award (Best Film), 2019 Nominee Annual Award (Anime Movie of The Year) 4th place",https://youtu.be/AMr5pXzpvP0?si=Wrqrp_iXyxIG4dw5
102,Saabiq,3A,Fate/stay night [Heaven's Feel] II. lost butterfly,Gekijouban Fate/stay night [Heaven's Feel] II. lost butterfly,Fate/stay night [Heaven's Feel] II. lost butterfly (2019) (imdb.com),2019,Japan,"The story focuses on the Holy Grail War and explores the relationship between Shirou Emiya and Sakura Matou, two teenagers participating in this conflict. The story continues immediately from Fate/stay night: Heaven's Feel I. presage flower, following Shirou as he continues to participate in the Holy Grail War even after being eliminated as a master.","Apple TV, Microsoft Store","Anime, Action, Adventure, Drama, Fantasy","Noriaki Sugiyama, Noriko Shitaya, Ayako Kawasumi, Kana Ueda, Jôji Nakata",https://youtu.be/nfzKXkL_i54?si=zm6E1OQ54bidiUnf,2020 Nominee Annual Award (Anime Movie of The Year) 3rd place,https://youtu.be/nfzKXkL_i54?si=zm6E1OQ54bidiUnf
103,Saabiq,3A,Fate/stay night [Heaven's Feel] III. spring song,Gekijouban Fate/stay night [Heaven's Feel] III. spring song,Fate/stay night [Heaven's Feel] III. spring song (2020) (imdb.com),2020,Japan,"The final chapter in the Heaven's Feel trilogy. Angra Mainyu has successfully possessed his vessel Sakura Matou. It's up to Rin, Shirou, and Rider to cleanse the grail or it will be the end of the world and magecraft as we all know it.","Apple TV, Microsoft Store Google Play Movies","Anime, Action, Adventure, Drama, Fantasy","Noriaki Sugiyama, Noriko Shitaya, Ayako Kawasumi, Kana Ueda, Jôji Nakata",https://youtu.be/KlJIMiZfxCY?si=0Lxh1O7xkwxIXi5d,2022 Nominee Annual Award (Anime Movie of The Year) 5th place,https://youtu.be/KlJIMiZfxCY?si=0Lxh1O7xkwxIXi5d
104,Saabiq,3A,Real Steel,-,Real Steel (2011) (imdb.com),2011,United States,"In a near future where robot boxing is a top sport, a struggling ex-boxer feels he's found a champion in a discarded robot.","Netflix, Hotstar, Hulu","Boxing, Action, Drama, Sci-Fi, Sport","Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie. Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda",https://youtu.be/1VFd5FMbZ64?si=ItKqmKxKBM6r4Whv,"2011 Nominee IGN Award (Best Sci-Fi Movie), 2012 Nominee Golden Trailer (Most Original TV Spot)",https://youtu.be/1VFd5FMbZ64?si=ItKqmKxKBM6r4Whv
105,Saabiq,3A,Dragon Nest: Warrior's Dawn,Long Zhi Gu: Po Xiao Qi Bing,https://www.imdb.com/title/tt0433035/mediaviewer/rm1078443008/?ref_=tt_ov_i,2014,China,Lambert joins the Dragon Slayers' League to save Altera from the Black Dragon.,"Apple TV, Microsoft Store, Google Play Movies","Action, Adventure, Animation, Fantasy, Family","Jiao Xu, Guanlin Ji, Yig Huang, Dawei Shen, Xianglong Meng, Ye Sun, Tian Jing, Hong Shang, Zitong Xia",https://youtu.be/0ak7gLnPZfw?si=ZbnsWQCARu5FjAqm,"2015 Nominee Huading Award (Best Animated Feature), 2015 Nominee Golden Rooster (Best Animated Feature)",https://youtu.be/0ak7gLnPZfw?si=ZbnsWQCARu5FjAqm
106,taqin,3B,knives out,,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/726b1b0e4005ab2219e31b5582e0602a_500x749.jpg?v=1573572660,2019,United States,"A detective investigates the death of the patriarch of an eccentric, combative family.",Netflix,"Comedy, Crime, Drama, Mystery, Thriller","Ana de Armas, Chris Evans, Daniel Craig, Jamie Lee Curtis","Knives Out (2019 Movie) Official Trailer — Daniel Craig, Chris Evans, Jamie Lee Curtis - YouTube",,"Knives Out (2019 Movie) Official Trailer — Daniel Craig, Chris Evans, Jamie Lee Curtis - YouTube"
107,taqin,3B,memento,,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/c15059527ae4d9c832dbb365b418369e_7c2bb4af-8bcd-428c-8904-27ddc512a45c_500x749.jpg?v=1573594896,2000,United States,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Peacock Premium Plus,"Mystery, Thriller","
Guy PearceCarrie-Anne MossJoe Pantoliano",Memento Original 35 mm Anamorphic Trailer (HD) (CC) - YouTube,,Memento Original 35 mm Anamorphic Trailer (HD) (CC) - YouTube
108,taqin,3B,the forest gump,,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/forrest-gump---24x36_500x749.jpg?v=1645558337,1994,United States,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Netflix,"Drama, Romance",Tom HanksRobin WrightGary Sinise,Forrest Gump - Trailer - YouTube,,Forrest Gump - Trailer - YouTube
109,taqin,3B,pulp fiction,,https://cdn.shopify.com/s/files/1/0057/3728/3618/products/ab401c136cca10812cda5ac64c3f7c2e_bb5e62f7-b34f-4547-b5c7-495cc2dd1bd9_500x749.jpg?v=1573591339,1994,United States,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents. ??Soumitra",Netflix,"Crime, Drama","Amanda Plummer, John Travolta, Laura Lovelace, Samuel L. Jackson, Tim Roth","Pulp Fiction | Official Trailer (HD) - John Travolta, Uma Thurman, Samuel L. Jackson | MIRAMAX - YouTube",,"Pulp Fiction | Official Trailer (HD) - John Travolta, Uma Thurman, Samuel L. Jackson | MIRAMAX - YouTube"
110,taqin,3B,the prestige,,https://www.movieposters.com/cdn/shop/files/prestige.mp.140332_480x.progressive.jpg?v=1709237534,2006,United States,"The Prestige (2006) In the end of the nineteenth century, in London, Robert Angier, his beloved wife Julia McCullough, and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death, and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences. ??Claudio Carvalho, Rio de Janeiro, Brazil",Netflix,"Drama, Mystery, Sci-fi","Christian Bale, Hugh Jackman, Michael Caine, Piper Perabo",The Prestige (2006) Trailer #1 | Movieclips Classic Trailers - YouTube,,The Prestige (2006) Trailer #1 | Movieclips Classic Trailers - YouTube
111,Alvin,3A,Kung Fu Panda,,https://www.imdb.com/title/tt0441773/mediaviewer/rm3096332288/?ref_=tt_ov_i,2008,United States,"It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths.",Netflix,"Animation, Action, Adventure, Comedy, Family, Fantasy","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, Jackie Chan",Kung Fu Panda | IMDb,,Kung Fu Panda | Official Trailer
112,Alvin,3A,Kung Fu Panda 2,,https://www.imdb.com/title/tt1302011/mediaviewer/rm848057600/?ref_=tt_ov_i,2011,United States,"After a year of being the dragon warrior, obesitized but fearless Po (Black) is a hero in China along with Crane (Cross), Mantis (Rogen), Monkey (Chan), Viper (Liu), Tigress (Jolie), and Shifu (Hoffman). But trouble pops out when villian Shen (Oldman) begins chaos. Everybody is ready to fight, but Po is unprepared when he learns Shen was his enemy in his infancy.",Netflix,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy","Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Seth Rogen, Lucy Liu, David Cross, James Hong, Jackie Chan",Kung Fu Panda 2 - Trailer #1 | IMDb,,Kung Fu Panda 2 | Official Trailer
113,Alvin,3A,Kung Fu Panda 3,,https://www.imdb.com/title/tt2267968/mediaviewer/rm375908608/?ref_=tt_ov_i,2016,United States,"When Po's long-lost panda father suddenly reappears, the reunited duo travels to a secret panda paradise to meet scores of hilarious new panda characters. But when the supernatural villain Kai begins to sweep across China defeating all the kung fu masters, Po must do the impossible-learn to train a village full of his fun-loving, clumsy brethren to become the ultimate band of Kung Fu Pandas.",Netflix,"Animation, Action, Adventure, Comedy, Family, Fantasy","Jack Black, J. K. Simmons, Bryan Cranston, Dustin Hoffman, Angelina Jolie, Jackie Chan, Jean-Claude Van Damme, Seth Rogen, Lucy Liu",Kung Fu Panda 3 - Trailer #3 | IMDb,,Kung Fu Panda 3 | Official Trailer #1
114,Alvin,3A,Kung Fu Panda 4,,https://www.imdb.com/title/tt21692408/mediaviewer/rm3773712385/?ref_=tt_ov_i,2024,United States,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Netflix,"Animation, Action, Adventure, Comedy, Family, Fantasy","Gregory, Awkwafina, Viola Davis, Dustin Hoffman, James Hong, Bryan Cranston, Ian McShane, Ke Huy Quan",Kung Fu Panda 4 - Sand & Spice Trailer | IMDb,,KUNG FU PANDA 4 | Official Trailer
115,Alvin,3A,Kung Fu Hustle,,https://www.imdb.com/title/tt0373074/mediaviewer/rm2422949889/?ref_=tt_ov_i,2004,China,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all.",Netflix,"Action, Comedy, Fantasy","Stephen Chow, Yuen Wah, Yuen Qiu, Danny Chan Kwok Kwan, Bruce Leung",Kung Fu Hustle | IMDb,,Kung Fu Hustle | Official Trailer 
116,Alvyn,3A,Spirited Away,Sen to Chihiro no kamikakushi,Spirited Away (2001),2001,Japan,"The fanciful adventures of a ten-year-old girl named Chihiro, who discovers a secret world when she and her family get lost and venture through a hillside tunnel. When her parents undergo a mysterious transformation, Chihiro must fend for herself as she encounters strange spirits, assorted creatures and a grumpy sorceress who seeks to prevent her from returning to the human world",Netflix,"Anime, Fantasy, Adventure, Super-natural, Drama","Miyu Irino, Rumi Hiiragi, Mari Natsuki",Spirited Away | IMDb,"2003 Annie Award for Outstanding Achievement in an Animated Feature, 2002 Tokyo Anime Award for Animation of The Year, 2001 Manichi Film Awards for Best Film and Best Animated Film",Spirited Away - Official Trailer
117,Alvyn,3A,Princess Mononoke,Mononoke-hime,https://www.imdb.com/title/tt0119698/mediaviewer/rm1586705153/?ref_=ext_shr_lnk,1997,Japan,"While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he's embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met by animosity by both sides as they each see him as supporting the enemy.",Netflix,"Anime, Fantasy, Adventure, Action, Drama, Romance","Yurika Ishida, Youji Matsuda, Yuko Tanaka",Princess Mononoke - Official Trailer | IMDb,"1997 Mainichi Film Awards for Best Film, Best Animated Film, and Japanese Movie Fans Choice, 1998 Japanese Academy Awards for Best Picture dan Best Music",Princess Mononoke - Official Trailer
118,Alvyn,3A,My Neighbor Totoro,Tonari no Totoro,https://www.imdb.com/title/tt0096283/mediaviewer/rm3112135425/?ref_=ext_shr_lnk,1988,Japan,"Excited about reuniting with their ailing mother, close-knit sisters Satsuki and Mei embark on an exciting adventure when they move with their loving professor father to a new house in the verdant countryside of 1950s summer Japan. Now, nothing can stop them. And with mum in the hospital, the girls have all the time in the world to explore nature and the dense adjacent forest, the home of bashful mystical creatures only children can see. Under the clear blue sky's cloudless bliss and the bright yellow sun's promise of a luminous future, nothing can blemish the young sisters' flawless fantasy--not even life's trying times. After all, mother is getting better. Then, one radiant morning, as the shimmering green leaves of the towering camphor trees swayed in the soft morning breeze, the wide-eyed siblings stumbled upon a Totoro. But who is the enchanting visitor? Will the rotund neighbour, with his fluffy fur and mysterious eyes, be the girls' forever friend?",Netflix,"Anime, Fantasy, Adventure, Family, Super-natural","Chika Sakamoto, Noriko Hidaka, Hitosho Takagi",My Neighbor Totoro - Official Trailer | IMDb,"1989 Mainichi Film Awards for Best Film, 1989 Blue Ribbon Awards for Best Film",My Neighbor Totoro - Official Trailer
119,Alvyn,3A,The Boy and The Heron,Kimitachi wa dou ikiru ka,https://www.imdb.com/title/tt6587046/mediaviewer/rm1725845761/?ref_=ext_shr_lnk,2023,Japan,"After losing his mother during the war, young Mahito moves to his family's estate in the countryside. There, a series of mysterious events lead him to a secluded and ancient tower, home to a mischievous gray heron. When Mahito's new stepmother disappears, he follows the gray heron into the tower, and enters a fantastic world shared by the living and the dead. As he embarks on an epic journey with the heron as his guide, Mahito must uncover the secrets of this world, and the truth about himself. Featuring the voices of Christian Bale, Dave Bautista, Gemma Chan, Willem Dafoe, Karen Fukuhara, Mark Hamill, Robert Pattinson and Florence Pugh.",Apple tv,"Anime, Fantasy, Adventure, Super-natural","Soma Santoki, Masaki Suda, Kou Shibasaki",The Boy and the Heron - Official Trailer | IMDb,2024 Mainichi Film Awards for Best Animation Film,THE BOY AND THE HERON | Official English Trailer
